"veg_code","woody_dominance_mean","veg_description","veg_category","woody_percent","biomass_type","summary_type","predicted","lwr","upr","lwr_Tg","predicted_Tg","upr_Tg"
1,1.624403319,"Cryptogam, herb barren (B1)","Barrens",38.0202474690664,"Plant","mean",20.2357183555556,10.0286575877778,37.0192332,1.00286575877778e-11,2.02357183555556e-11,3.70192332e-11
1,1.624403319,"Cryptogam, herb barren (B1)","Barrens",38.0202474690664,"Plant","sum",8.89e+12,4.42e+12,1.63e+13,4.42,8.89,16.3
1,1.624403319,"Cryptogam, herb barren (B1)","Barrens",38.0202474690664,"Woody Plant","mean",7.70573694,3.53581505777778,24.6725212888889,3.53581505777778e-12,7.70573694e-12,2.46725212888889e-11
1,1.624403319,"Cryptogam, herb barren (B1)","Barrens",38.0202474690664,"Woody Plant","sum",3.38e+12,1.55e+12,1.08e+13,1.55,3.38,10.8
1,1.624403319,"Cryptogam, herb barren (B1)","Barrens",38.0202474690664,"Nonwoody Plant","sum",5.51e+12,2.87e+12,5.5e+12,2.87,5.51,5.5
1,1.624403319,"Cryptogam, herb barren (B1)","Barrens",38.0202474690664,"Nonwoody Plant","mean",12.5299814155556,6.49284253,12.3467119111111,6.49284253e-12,1.25299814155556e-11,1.23467119111111e-11
2,9.223260462,"Cryptogam, barren complex (B2)","Barrens",33.6708860759494,"Plant","mean",84.5032186888889,40.1135758555556,173.524838777778,4.01135758555556e-11,8.45032186888889e-11,1.73524838777778e-10
2,9.223260462,"Cryptogam, barren complex (B2)","Barrens",33.6708860759494,"Plant","sum",3.95e+13,1.88e+13,8.12e+13,18.8,39.5,81.2
2,9.223260462,"Cryptogam, barren complex (B2)","Barrens",33.6708860759494,"Woody Plant","mean",28.3719524444444,13.2816732888889,104.875183811111,1.32816732888889e-11,2.83719524444444e-11,1.04875183811111e-10
2,9.223260462,"Cryptogam, barren complex (B2)","Barrens",33.6708860759494,"Woody Plant","sum",1.33e+13,6.21e+12,4.9e+13,6.21,13.3,49
2,9.223260462,"Cryptogam, barren complex (B2)","Barrens",33.6708860759494,"Nonwoody Plant","sum",2.62e+13,1.259e+13,3.22e+13,12.59,26.2,32.2
2,9.223260462,"Cryptogam, barren complex (B2)","Barrens",33.6708860759494,"Nonwoody Plant","mean",56.1312662444444,26.8319025666667,68.6496549666667,2.68319025666667e-11,5.61312662444444e-11,6.86496549666667e-11
3,5.973891084,"Non-carbonate mountain complex (B3)","Barrens",46.8911917098446,"Plant","mean",51.8830449555556,27.5998770111111,90.5706769444444,2.75998770111111e-11,5.18830449555556e-11,9.05706769444444e-11
3,5.973891084,"Non-carbonate mountain complex (B3)","Barrens",46.8911917098446,"Plant","sum",7.72e+12,4.13e+12,1.36e+13,4.13,7.72,13.6
3,5.973891084,"Non-carbonate mountain complex (B3)","Barrens",46.8911917098446,"Woody Plant","mean",24.3524778111111,12.2302688,60.4769301555556,1.22302688e-11,2.43524778111111e-11,6.04769301555555e-11
3,5.973891084,"Non-carbonate mountain complex (B3)","Barrens",46.8911917098446,"Woody Plant","sum",3.62e+12,1.82e+12,9e+12,1.82,3.62,9
3,5.973891084,"Non-carbonate mountain complex (B3)","Barrens",46.8911917098446,"Nonwoody Plant","sum",4.1e+12,2.31e+12,4.6e+12,2.31,4.1,4.6
3,5.973891084,"Non-carbonate mountain complex (B3)","Barrens",46.8911917098446,"Nonwoody Plant","mean",27.5305671444444,15.3696082111111,30.0937467888889,1.53696082111111e-11,2.75305671444444e-11,3.00937467888889e-11
4,4.318375649,"Carbonate mountain complex (B4)","Barrens",42.9250891795482,"Plant","mean",39.9939622111111,21.3047387444444,70.1042176,2.13047387444444e-11,3.99939622111111e-11,7.01042176e-11
4,4.318375649,"Carbonate mountain complex (B4)","Barrens",42.9250891795482,"Plant","sum",8.41e+11,4.5e+11,1.48e+12,0.45,0.841,1.48
4,4.318375649,"Carbonate mountain complex (B4)","Barrens",42.9250891795482,"Woody Plant","mean",17.1822859333333,8.39637357666667,43.4020442666667,8.39637357666667e-12,1.71822859333333e-11,4.34020442666667e-11
4,4.318375649,"Carbonate mountain complex (B4)","Barrens",42.9250891795482,"Woody Plant","sum",3.61e+11,1.77e+11,9.12e+11,0.177,0.361,0.912
4,4.318375649,"Carbonate mountain complex (B4)","Barrens",42.9250891795482,"Nonwoody Plant","sum",4.8e+11,2.73e+11,5.68e+11,0.273,0.48,0.568
4,4.318375649,"Carbonate mountain complex (B4)","Barrens",42.9250891795482,"Nonwoody Plant","mean",22.8116762777778,12.9083651677778,26.7021733333333,1.29083651677778e-11,2.28116762777778e-11,2.67021733333333e-11
5,43.13937907,"Cryptogam, barren, dwarf-shrub complex (B5)","Barrens",54.0051679586563,"Plant","mean",319.976951,191.998565222222,538.275914444444,1.91998565222222e-10,3.19976951e-10,5.38275914444444e-10
5,43.13937907,"Cryptogam, barren, dwarf-shrub complex (B5)","Barrens",54.0051679586563,"Plant","sum",3.87e+13,2.32e+13,6.51e+13,23.2,38.7,65.1
5,43.13937907,"Cryptogam, barren, dwarf-shrub complex (B5)","Barrens",54.0051679586563,"Woody Plant","mean",172.644943,89.1288621444444,533.617188555556,8.91288621444444e-11,1.72644943e-10,5.33617188555556e-10
5,43.13937907,"Cryptogam, barren, dwarf-shrub complex (B5)","Barrens",54.0051679586563,"Woody Plant","sum",2.09e+13,1.08e+13,6.45e+13,10.8,20.9,64.5
5,43.13937907,"Cryptogam, barren, dwarf-shrub complex (B5)","Barrens",54.0051679586563,"Nonwoody Plant","sum",1.78e+13,1.24e+13,6e+11,12.4,17.8,0.6
5,43.13937907,"Cryptogam, barren, dwarf-shrub complex (B5)","Barrens",54.0051679586563,"Nonwoody Plant","mean",147.332008,102.869703077778,4.65872588888884,1.02869703077778e-10,1.47332008e-10,4.65872588888884e-12
21,10.87500497,"Graminoid, forb, cryptogam tundra (G1)","Graminoid tundras",31.4285714285714,"Plant","mean",119.370780111111,55.284406,231.022243333333,5.5284406e-11,1.19370780111111e-10,2.31022243333333e-10
21,10.87500497,"Graminoid, forb, cryptogam tundra (G1)","Graminoid tundras",31.4285714285714,"Plant","sum",1.19e+13,5.53e+12,2.31e+13,5.53,11.9,23.1
21,10.87500497,"Graminoid, forb, cryptogam tundra (G1)","Graminoid tundras",31.4285714285714,"Woody Plant","mean",37.4003256,16.8974799444444,151.600367666667,1.68974799444444e-11,3.74003256e-11,1.51600367666667e-10
21,10.87500497,"Graminoid, forb, cryptogam tundra (G1)","Graminoid tundras",31.4285714285714,"Woody Plant","sum",3.74e+12,1.69e+12,1.51e+13,1.69,3.74,15.1
21,10.87500497,"Graminoid, forb, cryptogam tundra (G1)","Graminoid tundras",31.4285714285714,"Nonwoody Plant","sum",8.16e+12,3.84e+12,8e+12,3.84,8.16,8
21,10.87500497,"Graminoid, forb, cryptogam tundra (G1)","Graminoid tundras",31.4285714285714,"Nonwoody Plant","mean",81.9704545111111,38.3869260555556,79.4218756666667,3.83869260555556e-11,8.19704545111111e-11,7.94218756666667e-11
22,22.65678632,"Graminoid, prostrate dwarf-shrub, forb, moss tundra (G2)","Graminoid tundras",39.8659966499162,"Plant","mean",230.105303111111,125.028338666667,394.721150888889,1.25028338666667e-10,2.30105303111111e-10,3.94721150888889e-10
22,22.65678632,"Graminoid, prostrate dwarf-shrub, forb, moss tundra (G2)","Graminoid tundras",39.8659966499162,"Plant","sum",5.97e+13,3.25e+13,1.03e+14,32.5,59.7,103
22,22.65678632,"Graminoid, prostrate dwarf-shrub, forb, moss tundra (G2)","Graminoid tundras",39.8659966499162,"Woody Plant","mean",91.8429666222222,44.8942259666667,321.823018333333,4.48942259666667e-11,9.18429666222222e-11,3.21823018333333e-10
22,22.65678632,"Graminoid, prostrate dwarf-shrub, forb, moss tundra (G2)","Graminoid tundras",39.8659966499162,"Woody Plant","sum",2.38e+13,1.17e+13,8.36e+13,11.7,23.8,83.6
22,22.65678632,"Graminoid, prostrate dwarf-shrub, forb, moss tundra (G2)","Graminoid tundras",39.8659966499162,"Nonwoody Plant","sum",3.59e+13,2.08e+13,1.94e+13,20.8,35.9,19.4
22,22.65678632,"Graminoid, prostrate dwarf-shrub, forb, moss tundra (G2)","Graminoid tundras",39.8659966499162,"Nonwoody Plant","mean",138.262336488889,80.1341127,72.8981325555556,8.01341127e-11,1.38262336488889e-10,7.28981325555556e-11
23,43.82277795,"Non-tussock sedge, dwarf-shrub, moss tundra (G3)","Graminoid tundras",53.680981595092,"Plant","mean",465.646536,287.149909666667,730.670405555556,2.87149909666667e-10,4.65646536e-10,7.30670405555556e-10
23,43.82277795,"Non-tussock sedge, dwarf-shrub, moss tundra (G3)","Graminoid tundras",53.680981595092,"Plant","sum",3.26e+14,2.01e+14,5.12e+14,201,326,512
23,43.82277795,"Non-tussock sedge, dwarf-shrub, moss tundra (G3)","Graminoid tundras",53.680981595092,"Woody Plant","mean",250.065184666667,129.950527555556,606.014240333333,1.29950527555556e-10,2.50065184666667e-10,6.06014240333333e-10
23,43.82277795,"Non-tussock sedge, dwarf-shrub, moss tundra (G3)","Graminoid tundras",53.680981595092,"Woody Plant","sum",1.75e+14,9.1e+13,4.24e+14,91,175,424
23,43.82277795,"Non-tussock sedge, dwarf-shrub, moss tundra (G3)","Graminoid tundras",53.680981595092,"Nonwoody Plant","sum",1.51e+14,1.1e+14,8.8e+13,110,151,88
23,43.82277795,"Non-tussock sedge, dwarf-shrub, moss tundra (G3)","Graminoid tundras",53.680981595092,"Nonwoody Plant","mean",215.581351333333,157.199382111111,124.656165222222,1.57199382111111e-10,2.15581351333333e-10,1.24656165222222e-10
24,48.54566535,"Tussock-sedge, dwarf-shrub, moss tundra (G4)","Graminoid tundras",55.6756756756757,"Plant","mean",506.897480111111,315.947717444444,802.133328,3.15947717444444e-10,5.06897480111111e-10,8.02133328e-10
24,48.54566535,"Tussock-sedge, dwarf-shrub, moss tundra (G4)","Graminoid tundras",55.6756756756757,"Plant","sum",1.85e+14,1.15e+14,2.93e+14,115,185,293
24,48.54566535,"Tussock-sedge, dwarf-shrub, moss tundra (G4)","Graminoid tundras",55.6756756756757,"Woody Plant","mean",282.524167444444,151.787746777778,627.586284,1.51787746777778e-10,2.82524167444444e-10,6.27586284e-10
